vehicle_id,registration,model_raw,fuel_raw,region_raw,odometer_km,fault_events
1,KA60F1791,eActros,Electric,S,172774,0
2,KA14A8104,hyb-x,Hybrid,south,43779,2
3,KA25B2013,fh16 ,dsl,Central,77955,0
4,KA63B9858,FM12,DSL,E,198782,0
5,KA91B7101,Hybrid-X,Hybrid,Central,182269,0
6,KA50D8424,HybridX,hyb,West,67124,3
7,KA83C9604,Volvo FM12,DSL,NORTH,95481,2
8,KA75D3702,FH 16,diesel,NORTH,130545,0
9,KA83C6572,FH 16,dsl,cen,38025,4
10,KA99F2064,eActros,EV,W,171505,8
11,KA59F6685,eCanter,ev,east,64052,2
12,KA37C3119,e-canter,ev,NORTH,150156,0
13,KA80C3243,Fuso eCanter,EV,W,128867,8
14,KA29A3887,e-canter,electric,south,23162,1
15,KA43C1067,hybrid x,HYB,S,179858,2
16,KA89F1884,Volvo FM12,dsl,cen,124589,1
17,KA17B2103,e-canter,ev,West,48817,1
18,KA10E3478,fh16 ,Diesel,N,180887,0
19,KA58B5132,FM 12,DSL,cen,52202,0
20,KA71D6109,eCanter,electric,West,216522,1
21,KA98B9459,eActros,electric,W,114831,0
22,KA77C2491,HybridX,hyb,north,113243,4
23,KA74C4654,hybrid x,hybrid,cen,213953,4
24,KA73C1474,FM12,DSL,cen,87941,0
25,KA67F6726,HybridX,Hybrid,East,46779,0
26,KA36D1031,Volvo FM12,DSL,E,42224,4
27,KA35D3924,Volvo FH16,DSL,West,209222,1
28,KA30B3081,eCanter,electric,NORTH,191929,0
29,KA94C3554,hybrid x,Hybrid,West,210413,2
30,KA65B4457,Hybrid-X,hyb,south,96799,2
31,KA43E7865,hybrid x,Hybrid,E,112742,5
32,KA63E3142,hybrid x,Hybrid,cen,68000,2
33,KA28D2971,FM12,DSL,Sth,47815,5
34,KA34C1691,FH16,dsl,South,219227,5
35,KA51E9282,fh16 ,diesel,W,92662,1
36,KA74B9572,HybridX,hybrid,west,55948,1
37,KA50A4942,Fuso eCanter,Electric,West,195498,1
38,KA92F6999,fh-16,DSL,south,142614,0
39,KA72B4665,fh-16,dsl,W,125856,1
40,KA50A6995,FM12,DSL,E,140237,1
41,KA52E5840,fh16 ,Diesel,West,79914,8
42,KA43C1648,fh-16,DSL,north,130691,4
43,KA29E9434,Mercedes eActros,EV,West,93154,0
44,KA19C1275,FM12,DSL,West,179430,4
45,KA25D1189,FH 16,dsl,east,182975,0
46,KA24B5290,Hybrid-X,hybrid,south,101786,2
47,KA47D9193,hybrid x,hyb,S,24761,8
48,KA12F9284,fh16 ,diesel,NORTH,84403,5
49,KA94D9944,Volvo FH16,DSL,W,76408,8
50,KA91B7630,E Actros,Electric,south,23736,0
